,GalaxyName,RA_deg,Dec_deg,Distance_pc,rh(arcmins),Nstar_rh,pmra_rh,pmdec_rh,Nbg_per_deg2,rh_deg,Nstar_per_rhdeg3
0,TucanaIII,359.15000000000003,-59.6,25234.807724805756,6.0,88,2.8031393104288624,-4.918081700773749,2175.117555589236,0.1,87999.99999999999
1,DracoII,238.19833333333332,64.56527777777778,23988.329190194898,2.7,23,1.0529734104128254,-3.3989889853125126,1833.884117931304,0.045000000000000005,252400.5486968449
2,Segue(I),151.76666666666668,16.081944444444446,22908.676527677748,4.4,53,-5.200770840309932,-5.829636495190076,2387.32414637843,0.07333333333333333,134391.43501126973
3,Reticulum2,53.92541666666666,-54.049166666666665,30199.51720402013,3.64,46,5.868191619854393,-0.49032698246698203,2594.604192417084,0.06066666666666667,206019.07451321773
4,CetusII,19.47,-17.42,29922.64636608189,1.9,14,0.24380536489294716,-4.465661113578523,2010.3782285292045,0.03166666666666666,440880.594838898
5,TriangulumII,33.322500000000005,36.17833333333333,30199.51720402013,3.9,93,2.2176678051267626,-2.8871860133218097,5399.3392922694275,0.065,338643.6049157942
6,UrsaMajorII,132.875,63.13,31622.776601683792,16.0,355,-0.07708759538954749,-6.630020570017561,1566.6814710608448,0.26666666666666666,18720.703125
7,BootesII,209.5,12.85,41686.93834703355,4.2,62,-11.699557759011935,-7.644268386523791,2944.9077905439135,0.07,180758.0174927113
8,SegueII,34.81666666666666,20.17527777777778,34673.685045253165,3.4,45,1.3649484976510158,-2.702834978188397,3006.8719352309645,0.056666666666666664,247303.0734785264
9,Willman1,162.3375,51.05,38018.93963205613,2.3,12,-2.340390379039971,-3.070399402302594,1949.572837874257,0.03833333333333333,213035.2593079642
10,ComaBerenices,186.74583333333334,23.904166666666665,43651.58322401656,6.0,68,-4.81390656480592,-4.841257285682131,1909.859317102744,0.1,67999.99999999999
11,TucanaIV,0.73,-60.85,48083.9348449729,9.1,173,7.574091276451185,-4.600889291326199,1821.9887217862188,0.15166666666666667,49587.89550022493
12,GrusII,331.02000000000004,-46.44,52966.34438916581,6.0,119,4.040235198623598,-8.673087107741175,3458.9674298638583,0.1,118999.99999999997
13,TucanaV,354.35,-63.269999999999996,55207.74392807573,1.0,0,,,1527.8874536821954,0.016666666666666666,0.0
14,Tucana2,342.9795833333334,-58.56888888888889,57543.993733715666,9.83,226,5.656249874696427,-6.012968544142746,2446.8930460485394,0.16383333333333333,51392.72392077272
15,SagittariusII,298.16875,-22.068055555555556,66988.46094165258,2.0,153,-1.285884437593191,-4.503148474006659,30080.284244368217,0.03333333333333333,4131000.0
16,Bootes(I),210.025,14.5,66374.30704019089,12.6,471,-6.039801045157512,-5.199918606460433,2581.606257560147,0.21,50858.43861354066
17,Draco,260.0516666666666,57.915277777777774,75857.75750291836,10.0,1042,-0.7470479604551794,-0.8239078315063522,5171.899030714231,0.16666666666666666,225072.00000000006
18,UrsaMinor,227.2854166666667,67.2225,75857.75750291836,8.2,341,-0.9597666157395667,-0.6293793444645251,3556.13305326091,0.13666666666666666,133587.73088028326
19,HorologiumII,49.13375,-50.018055555555556,77983.01105232594,2.09,12,3.3860358657096037,-5.078660486667109,1748.915379320752,0.034833333333333334,283920.0997137906
