GalaxyName,RA_deg,Dec_deg,Distance_pc,rh(arcmins),Satellite,rh_deg,rh_pc,ref,pmra,pmra_em,pmra_ep,pmdec,pmdec_em,pmdec_ep,method,comments
Antlia2,143.8868,-36.7673,132000.0,76.2,antlia_2,1.27,2925.869958043295, 2018arXiv181104082T ,-0.095,0.018000000000000002,0.018000000000000002,0.057999999999999996,0.024,0.024,GAIA_DR2,DR2
Aquarius2,338.4813,-9.3274,107900.0,5.1,aquarius_2,0.08499999999999999,160.07287234665992,2018A&A...619A.103F,-0.252,0.526,0.526,0.011000000000000001,0.44799999999999995,0.44799999999999995,GAIA,DR2
Bootes(I),210.025,14.5,66374.30704019089,12.6,bootes_1,0.21,243.27454128200645,2018A&A...616A..12G,-0.45899999999999996,0.040999999999999995,0.040999999999999995,-1.064,0.028999999999999998,0.028999999999999998,GAIA,DR2
Bootes3,209.25,26.8,46000.0,90.0,bootes_3,1.5,1204.2771838760873,2018A&A...620A.155M,-1.21,0.13,0.13,-0.92,0.17,0.17,GAIA,DR2
BootesII,209.5,12.85,41686.93834703355,4.2,bootes_2,0.07,50.93020304621327,2018A&A...619A.103F,-2.6860000000000004,0.389,0.389,-0.53,0.287,0.287,GAIA,DR2
CanesVenatici(I),202.0145833333333,33.55583333333333,217770.97723531595,8.9,canes_venatici_1,0.14833333333333334,563.7883842595458,2018A&A...619A.103F,-0.159,0.094,0.094,-0.067,0.054000000000000006,0.054000000000000006,GAIA,DR2
CanesVenaticiII,194.29166666666663,34.32083333333334,159955.8028614668,1.6,canes_venatici_2,0.02666666666666667,74.44681113609502,2018A&A...619A.103F,-0.342,0.23199999999999998,0.23199999999999998,-0.473,0.16899999999999998,0.16899999999999998,GAIA,DR2
Carina,100.40291666666668,-50.966111111111104,105196.18738232234,8.2,carina_1,0.13666666666666666,250.92271015008012,2018A&A...616A..12G,0.495,0.015,0.015,0.14300000000000002,0.013999999999999999,0.013999999999999999,GAIA,DR2
Carina2,114.1066,-57.9991,36200.0,8.69,carina_2,0.14483333333333331,91.50703090564535,2018A&A...620A.155M,1.81,0.08,0.08,0.14,0.08,0.08,GAIA,DR2
Carina3,114.6298,-57.8997,27800.0,3.75,carina_3,0.0625,30.32509575340148,2018ApJ...863...89S,3.035,0.12,0.12,1.558,0.136,0.136,GAIA,DR2
ColumbaI,82.86,-28.03,181970.08586099825,1.9,columba_1,0.03166666666666666,100.57260938302132,2018arXiv180602345P,-0.02,0.27,0.24,-0.04,0.3,0.3,GAIA,DR2
ComaBerenices,186.7458333333333,23.904166666666665,43651.58322401656,6.0,coma_berenices_1,0.1,76.18638509674105,2018A&A...619A.103F,0.47100000000000003,0.10800000000000001,0.10800000000000001,-1.716,0.10400000000000001,0.10400000000000001,GAIA,DR2
Crater2,177.31,-18.413,117500.0,31.2,crater_2,0.52,1066.3961729685352,2018A&A...619A.103F,-0.184,0.061,0.061,-0.106,0.031,0.031,GAIA,DR2
Draco,260.0516666666666,57.915277777777774,75857.75750291836,10.0,draco_1,0.16666666666666666,220.66127193422628,2018A&A...616A..12G,-0.019,0.009000000000000001,0.009000000000000001,-0.145,0.01,0.01,GAIA,DR2
DracoII,238.1983333333333,64.56527777777778,23988.329190194898,2.7,draco_2,0.045000000000000005,18.84038968895247,2018ApJ...863...89S,1.17,0.297,0.297,0.871,0.303,0.303,GAIA,DR2
Eridanus2,56.08791666666667,-43.53333333333333,380189.39632056135,1.53,eridanus_2,0.0255,169.2066970475669,2018arXiv180602345P,0.16,0.24,0.24,0.15,0.26,0.26,GAIA,DR2
Fornax,39.99708333333333,-34.44916666666666,147231.25024327193,16.6,fornax_1,0.2766666666666667,710.9420550718072,2018A&A...616A..12G,0.376,0.003,0.003,-0.413,0.003,0.003,GAIA,DR2
