name,gc_size,n_star,n_star_pm,sig_g_peak,sig_g_pm_peak,sig_p_peak,sig_p_pm_peak
ComaBerenices,9,1199,235,0,0,2,3
*GrusII,8,2152,547,0,0,1,103
*GrusII,6,2152,544,0,0,0,125
Draco,8,6692,2990,9,23,0,6
LeoT,9,55,14,0,0,0,5388
HydraII,5,451,152,0,0,0,0
LeoIV,8,986,274,0,0,0,0
*ReticulumIII,7,187,69,0,0,0,0
*Indus1,7,145,24,0,0,0,0
LeoIV,7,986,272,9,6,2,2
Fornax,10,58468,26625,1619,1479,868,646
Segue(I),5,780,176,0,0,2,0
CanesVenatici(I),6,2758,503,93619,37860,29,437
*HorologiumII,9,142,36,0,0,0,0
LeoII,6,687,238,0,0,358,0
*Pegasus3,9,134,29,0,0,1,0
UrsaMajorII,9,6802,1512,0,0,0,0
*TucanaV,6,30,8,1,0,0,1
*Pegasus3,10,134,29,0,0,0,0
SegueII,10,542,154,0,0,0,0
UrsaMajorII,8,6802,1506,0,0,0,2
Sculptor,9,12157,7444,0,0,6,0
CanesVenaticiII,8,90,15,0,0,0,0
Willman1,10,140,34,0,1,0,0
Fornax,6,58468,26625,3553,4450,1065,746
UrsaMinor,6,2867,1567,81,174,0,222
Fornax,8,58468,26625,2153,2140,984,767
*ReticulumIII,8,187,69,0,0,0,0
Bootes(I),5,7471,1673,1133,5146,3,7
HydraII,6,451,152,0,0,0,0
*Horologium1,9,74,17,0,0,0,0
PiscesII,9,69,20,0,0,0,0
Eridanus2,8,102,27,0,0,0,0
*CetusII,7,143,45,4,0,0,0
ComaBerenices,8,1199,244,0,0,0,0
UrsaMajor(I),8,2880,604,1072,4324,10,115
*Pictoris1,8,30,12,1,6,0,0
Phoenix,10,733,301,7788,1194,1655,247
Bootes(I),6,7471,1671,308,1008,0,6
AndromedaXVI,9,63,23,0,0,0,1
UrsaMajorII,5,6802,1514,28,73,2,0
LeoV,8,272,78,0,0,3,0
*TriangulumII,8,1462,570,0,0,0,2
UrsaMinor,8,2867,1570,0,0,0,124
ComaBerenices,7,1199,246,0,0,0,0
HydraII,9,451,152,0,0,0,0
*GrusII,7,2152,545,0,0,0,112
*Reticulum2,5,529,129,0,0,45,0
*TucanaIV,7,2889,612,0,0,1,140
AndromedaXXIV,8,722,380,6998,2576,46,31
*IndusI?,7,1063,289,0,0,0,0
*IndusI?,6,1063,290,12,4,20,0
AndromedaXVI,7,63,23,0,0,1,0
BootesII,9,873,177,0,0,1,0
*Indus1,10,145,24,0,0,0,0
*Pegasus3,7,134,29,0,0,0,4
*Pictoris1,10,30,12,5,0,0,0
*DracoII,6,217,79,0,0,0,0
Fornax,7,58468,26625,2666,2851,1072,844
Bootes(I),9,7471,1668,0,21,0,1
Segue(I),9,780,186,0,0,2,0
Sculptor,10,12157,7455,0,0,6,0
*TucanaIV,8,2889,612,0,0,0,112
Tucana2,9,4207,806,0,0,0,0
*Indus1,5,145,24,0,0,0,0
Phoenix,8,733,300,15429,3748,2528,164
Carina,7,10649,5360,71,157,1,0
AndromedaXVI,6,63,23,0,0,0,0
*TucanaIII,8,1329,281,0,0,0,0
*TucanaV,9,30,8,0,0,0,0
UrsaMinor,5,2867,1568,376,559,0,325
Carina,8,10649,5360,37,38,0,3
Segue(I),8,780,175,0,0,0,0
*Eridanus3,8,10,3,8,0,32,378
UrsaMajorII,10,6802,1517,0,0,0,2
Carina,10,10649,5355,2,0,0,2
*TucanaIII,6,1329,282,0,0,0,0
*Grus1,7,146,31,0,0,0,0
NGC6822,7,9845,4189,578,1281,24,3
Sextans(I),6,40423,8749,15935,56253,22,39
*Horologium1,6,74,17,0,0,0,0
*ColumbaI,6,354,103,0,0,0,0
Sculptor,6,12157,7441,49,101,2,1
LeoV,10,272,78,0,0,0,0
*GrusII,9,2152,544,0,0,0,59
LeoT,6,55,14,0,0,0,12264
*Horologium1,10,74,17,0,0,0,0
CanesVenaticiII,7,90,15,0,0,0,0
*DracoII,8,217,79,0,0,0,0
*DracoII,9,217,79,0,0,0,0
*Grus1,10,146,31,0,0,0,0
Segue(I),10,780,183,0,0,0,0
*TucanaV,8,30,8,0,0,0,0
Draco,7,6692,2993,53,63,1,5
PiscesII,6,69,20,0,0,0,0
*TriangulumII,10,1462,564,0,1,0,0
Tucana2,7,4207,803,0,0,0,8
LeoII,9,687,238,0,0,189,23
*TucanaIII,9,1329,270,0,0,0,0
*TriangulumII,6,1462,581,0,0,0,6
Sextans(I),7,40423,8736,7462,24824,43,89
Sculptor,5,12157,7445,285,380,1,0
*Reticulum2,10,529,129,0,0,8,0
Hercules,10,12545,2880,40,78,2,5
*Phoenix2,6,68,9,0,2,0,308
UrsaMinor,10,2867,1569,0,0,0,77
*Reticulum2,9,529,132,0,0,10,0
Carina,5,10649,5360,804,1632,0,1
UrsaMajor(I),10,2880,605,86,1493,13,117
Eridanus2,7,102,27,0,0,1,0
Willman1,5,140,34,0,0,0,0
LeoII,10,687,237,0,0,132,5
ComaBerenices,5,1199,239,0,0,4,6
UrsaMajor(I),5,2880,602,8237,23745,55,313
Hercules,8,12545,2881,282,1285,2,0
*SagittariusII,5,2064,669,0,0,0,8
*ReticulumIII,10,187,69,0,0,0,0
*HorologiumII,8,142,36,0,0,5,0
*TucanaV,5,30,8,3,4,0,3
*CetusII,5,143,45,2,1,3,5
*Pictoris1,5,30,12,1,0,0,0
Sextans(I),8,40423,8734,4138,16993,20,14
*TriangulumII,5,1462,572,0,0,0,3
*Pegasus3,6,134,29,0,0,4,2
*Horologium1,7,74,17,0,0,0,0
*Eridanus3,10,10,3,0,0,22,265
*CetusII,9,143,45,1,0,0,0
*Reticulum2,7,529,133,0,0,21,0
Willman1,6,140,34,0,2,0,0
CanesVenaticiII,9,90,15,0,0,0,0
Draco,9,6692,2985,0,6,0,0
Tucana2,10,4207,800,0,0,1,1
CanesVenaticiII,6,90,15,0,0,0,0
LeoT,7,55,14,0,0,3,7807
LeoIV,10,986,275,0,0,0,0
*Eridanus3,7,10,3,13,0,48,586
*ColumbaI,9,354,103,0,0,0,0
*SagittariusII,9,2064,666,0,0,0,5
Tucana2,8,4207,803,0,0,0,1
LeoT,8,55,14,0,0,2,6392
*DracoII,7,217,79,0,0,0,0
BootesII,5,873,174,0,0,5,0
BootesII,7,873,169,0,0,5,0
UrsaMinor,9,2867,1567,0,0,0,98
*Grus1,9,146,31,0,0,0,0
*Eridanus3,5,10,3,29,21,86,1010
Draco,10,6692,2995,0,5,0,0
LeoI,6,2201,1142,153,75,0,27931
CanesVenaticiII,10,90,15,0,0,0,0
*TucanaIII,10,1329,283,0,0,0,0
Carina,9,10649,5357,17,13,1,6
*ColumbaI,8,354,103,0,0,1,0
BootesII,6,873,176,0,0,4,0
*TucanaIII,5,1329,277,0,0,8,0
PiscesII,10,69,20,0,4,0,0
*TucanaV,7,30,8,0,0,0,0
UrsaMajorII,7,6802,1510,0,0,0,3
Sculptor,8,12157,7444,2,13,5,0
LeoI,7,2201,1142,40,24,0,12470
*Pictoris1,7,30,12,0,8,0,0
Phoenix,6,733,301,29886,8572,5091,100
*DracoII,5,217,79,0,0,0,0
SegueII,6,542,149,0,0,3,0
PiscesII,8,69,20,0,0,0,0
LeoI,9,2201,1142,0,4,0,6253
*Grus1,8,146,31,0,0,0,0
Draco,6,6692,2990,225,208,2,4
*Pictoris1,6,30,12,1,5,0,0
*GrusII,5,2152,544,0,0,0,183
*Indus1,8,145,24,0,0,0,0
*HorologiumII,10,142,36,0,1,0,0
*TucanaIII,7,1329,276,0,0,1,0
SegueII,5,542,151,0,0,4,0
*Reticulum2,8,529,128,0,0,19,0
*TucanaIV,6,2889,619,0,0,2,226
LeoV,6,272,78,0,0,0,10
Bootes(I),8,7471,1675,8,150,1,1
*TucanaIV,5,2889,615,13,0,8,287
CanesVenatici(I),8,2758,501,34442,24806,18,308
LeoIV,6,986,269,218,48,15,18
AndromedaXXIV,7,722,379,13086,6626,2,2
UrsaMajor(I),6,2880,606,4361,13544,40,226
Phoenix,7,733,300,20335,4868,3042,13
Eridanus2,10,102,27,0,0,0,0
Willman1,9,140,34,2,1,0,0
Segue(I),7,780,174,0,0,1,0
Eridanus2,6,102,27,0,0,0,0
*Eridanus3,6,10,3,20,2,66,757
LeoIV,9,986,269,0,0,4,0
*SagittariusII,6,2064,669,0,0,0,10
CanesVenatici(I),10,2758,499,6731,13881,42,19
*Phoenix2,7,68,9,0,2,0,182
NGC6822,10,9845,4189,176,147,35,4
Segue(I),6,780,173,0,0,0,0
SegueII,7,542,151,0,0,1,0
*Pegasus3,8,134,29,0,0,0,0
Fornax,9,58468,26625,1844,1729,944,711
*ReticulumIII,6,187,69,0,0,0,0
*Indus1,6,145,24,0,0,0,0
*CetusII,6,143,45,7,3,0,6
Sculptor,7,12157,7444,7,27,6,0
Sextans(I),5,40423,8740,39698,163427,50,88
*SagittariusII,7,2064,668,0,0,0,5
LeoV,7,272,78,0,0,3,3
*Pictoris1,9,30,12,3,4,0,0
Carina,6,10649,5357,204,470,6,5
*CetusII,10,143,45,1,0,0,0
*TriangulumII,7,1462,579,0,0,0,0
*HorologiumII,6,142,36,0,0,2,0
*IndusI?,8,1063,291,0,0,1,0
Willman1,7,140,34,0,3,0,0
*IndusI?,10,1063,290,0,0,0,2
AndromedaXXIV,10,722,380,2454,74,1,0
*ReticulumIII,5,187,69,0,0,0,0
Bootes(I),7,7471,1678,74,445,0,0
*TucanaIV,9,2889,616,0,0,0,124
Willman1,8,140,34,3,1,0,0
AndromedaXVI,8,63,23,0,0,0,0
NGC6822,6,9845,4186,1811,4895,18,5
AndromedaXVI,10,63,23,0,0,0,1
*TucanaIV,10,2889,614,0,0,0,67
*TriangulumII,9,1462,586,0,0,0,1
NGC6822,9,9845,4188,262,260,18,0
CanesVenatici(I),9,2758,499,8671,17900,35,15
HydraII,8,451,152,0,0,0,0
*Reticulum2,6,529,128,0,0,19,0
BootesII,8,873,173,0,0,4,0
*Phoenix2,5,68,9,0,0,0,483
*Eridanus3,9,10,3,5,0,32,369
Tucana2,6,4207,796,2,0,0,0
Bootes(I),10,7471,1672,0,0,2,1
UrsaMinor,7,2867,1568,10,4,0,168
*Horologium1,5,74,17,0,0,0,0
*TucanaV,10,30,8,0,0,0,0
Sextans(I),10,40423,8730,1155,5958,16,7
Sextans(I),9,40423,8731,2145,10336,13,18
*ReticulumIII,9,187,69,0,0,0,0
AndromedaXXIV,6,722,379,21608,12283,115,24
*DracoII,10,217,79,0,0,0,0
BootesII,10,873,175,0,0,1,1
Hercules,5,12545,2885,4211,14450,14,19
HydraII,10,451,152,0,0,0,0
*SagittariusII,8,2064,672,0,0,0,4
NGC6822,8,9845,4189,396,554,44,21
Tucana2,5,4207,802,59,22,2,7
LeoII,8,687,238,0,0,226,15
*HorologiumII,5,142,36,0,0,5,0
AndromedaXXIV,9,722,381,5022,541,27,84
SegueII,8,542,150,0,0,0,0
*Indus1,9,145,24,0,1,0,0
Draco,5,6692,2996,725,1161,3,9
LeoII,7,687,237,0,0,303,0
*Horologium1,8,74,17,0,0,0,0
Hercules,9,12545,2876,119,468,2,3
*Phoenix2,9,68,9,0,1,0,125
UrsaMajorII,6,6802,1515,0,0,2,0
LeoV,9,272,78,0,0,0,0
*GrusII,10,2152,542,0,0,0,58
*SagittariusII,10,2064,667,0,0,0,4
LeoI,8,2201,1142,1,14,0,9179
*ColumbaI,10,354,103,0,0,0,0
CanesVenatici(I),7,2758,504,64949,32709,15,423
PiscesII,7,69,20,0,0,0,0
UrsaMajor(I),9,2880,602,286,2998,11,91
LeoI,10,2201,1142,0,0,0,7421
SegueII,9,542,153,0,0,3,0
*Phoenix2,10,68,9,0,1,0,108
*ColumbaI,7,354,103,0,0,2,0
Phoenix,9,733,301,13530,2654,2214,46
Eridanus2,9,102,27,0,0,0,0
Hercules,6,12545,2885,1717,4996,11,4
*CetusII,8,143,45,0,0,0,0
UrsaMajor(I),7,2880,600,2471,8161,17,138
Hercules,7,12545,2881,751,2936,6,16
*Phoenix2,8,68,9,0,2,0,159
*IndusI?,9,1063,290,0,0,0,0
*Grus1,6,146,31,0,0,0,0
ComaBerenices,10,1199,239,0,0,0,0
LeoT,10,55,14,0,0,18,3853
ComaBerenices,6,1199,240,0,0,1,3
*HorologiumII,7,142,36,0,0,0,0
HydraII,7,451,152,0,0,0,0
*Grus1,5,146,31,0,0,0,0
